# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370293,96,13,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,113,12,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,116,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,123,10,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,131,9,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,136,8,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,142,7,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,162,5,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,167,3,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,174,6,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,266,5,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,395,7,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,967,9,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,997,10,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,1105,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,1245,12,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370293,1470,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370294,1,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370294,137,15,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370294,414,17,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
370300,1,5,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,7,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,9,17,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,21,15,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,39,14,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,83,12,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,97,11,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,113,10,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,124,9,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,130,8,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
370300,141,7,128.00,HLT_PFJet260_v24/128,OR,L1_SingleJet180/1.00 L1_SingleJet200/1.00 L1_SingleJet160er2p5/0.00
